DATA ELEMENT,SUB_FIELD,LENGTH
DE002,00,19
DE003,01,2
DE003,02,2
DE003,03,2
DE004,00,12
DE005,00,12
DE006,00,12
DE007,00,0
DE008,00,0
DE009,00,8
DE010,00,8
DE011,00,0
DE012,01,6
DE012,02,6
DE013,00,0
DE014,00,4
DE015,00,0
DE016,00,0
DE017,00,0
DE018,00,0
DE019,00,0
DE020,00,0
DE021,00,0
DE022,01,1
DE022,02,1
DE022,03,1
DE022,04,1
DE022,05,1
DE022,06,1
DE022,07,1
DE022,08,1
DE022,09,1
DE022,10,1
DE022,11,1
DE022,12,1
DE023,00,3
DE024,00,3
DE025,00,4
DE026,00,4
DE027,00,0
DE028,00,0
DE029,00,0
DE030,01,12
DE030,02,12
DE031,01,1
DE031,02,6
DE031,03,4
DE031,04,11
DE031,05,1
DE032,0,11
DE033,00,11
DE034,00,0
DE035,00,0
DE036,00,0
DE037,00,12
DE038,00,6
DE039,00,0
DE040,00,3
DE041,00,8
DE042,00,15
DE043,01,22
DE043,02,48
DE043,03,13
DE043,04,10
DE043,05,3
DE043,06,3
DE044,00,0
DE045,00,0
DE046,00,0
DE047,00,0
DE048,00,999
DE049,0,3
DE050,0,3
DE051,0,3
DE052,00,0
DE053,00,0
DE054,01,2
DE054,02,2
DE054,03,3
DE054,04,1
DE054,05,12
DE055,00,255
DE056,00,0
DE057,00,0
DE058,00,0
DE059,00,0
DE060,00,0
DE061,00,0
DE062,00,999
DE063,01,1
DE063,02,15
DE064,00,0
DE065,00,0
DE066,00,0
DE067,00,0
DE068,00,0
DE069,00,0
DE070,00,0
DE071,00,8
DE072,00,999
DE073,00,6
DE074,00,0
DE075,00,0
DE076,00,0
DE077,00,0
DE078,00,0
DE079,00,0
DE080,00,0
DE081,00,0
DE082,00,0
DE083,00,0
DE084,00,0
DE085,00,0
DE086,00,0
DE087,00,0
DE088,00,0
DE089,00,0
DE090,00,0
DE091,00,0
DE092,00,0
DE093,00,11
DE094,00,11
DE095,00,10
DE096,00,0
DE097,00,0
DE098,00,0
DE099,00,0
DE100,00,11
DE101,00,0
DE102,00,0
DE103,00,0
DE104,00,0
DE105,00,0
DE106,00,0
DE107,00,0
DE108,00,0
DE109,00,0
DE110,00,0
DE111,00,12
DE112,00,0
DE113,00,0
DE114,00,0
DE115,00,0
DE116,00,0
DE117,00,0
DE118,00,0
DE119,00,0
DE120,00,0
DE121,00,0
DE122,00,0
DE123,00,999
DE124,00,999
DE125,00,999
DE126,00,0
DE127,00,999
DE128,00,0
