DATA ELEMENT,LENGTH
DE002,19
DE003,6
DE004,12
DE005,12
DE006,12
DE007,null
DE008,null
DE009,8
DE010,8
DE011,null
DE012,12
DE013,null
DE014,4
DE015,null
DE016,null
DE017,null
DE018,null
DE019,null
DE020,null
DE021,null
DE022,12
DE023,3
DE024,3
DE025,4
DE026,4
DE027,null
DE028,null
DE029,null
DE030,24
DE031,23
DE032,11
DE033,11
DE034,null
DE035,null
DE036,null
DE037,12
DE038,6
DE039,null
DE040,3
DE041,8
DE042,15
DE043,99
DE044,null
DE045,null
DE046,null
DE047,null
DE048,999
DE049,3
DE050,3
DE051,3
DE052,null
DE053,null
DE054,20
DE055,255
DE056,null
DE057,null
DE058,null
DE059,null
DE060,null
DE061,null
DE062,999
DE063,16
DE064,null
DE065,null
DE066,null
DE067,null
DE068,null
DE069,null
DE070,null
DE071,8
DE072,999
DE073,6
DE074,null
DE075,null
DE076,null
DE077,null
DE078,null
DE079,null
DE080,null
DE081,null
DE082,null
DE083,null
DE084,null
DE085,null
DE086,null
DE087,null
DE088,null
DE089,null
DE090,null
DE091,null
DE092,null
DE093,11
DE094,11
DE095,10
DE096,null
DE097,null
DE098,null
DE099,null
DE100,11
DE101,null
DE102,null
DE103,null
DE104,null
DE105,null
DE106,null
DE107,null
DE108,null
DE109,null
DE110,null
DE111,12
DE112,null
DE113,null
DE114,null
DE115,null
DE116,null
DE117,null
DE118,null
DE119,null
DE120,null
DE121,null
DE122,null
DE123,999
DE124,999
DE125,999
DE126,null
DE127,999
DE128,null
